numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
1342,Incidente Grave,2010-10-28,,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Decolagem,Voo de Instrução,Leve,AB-115,AERO BOERO,0,0.0,0,0,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
1342,Incidente Grave,2010-10-28,,SP,Sudeste,EXCURSÃO DE PISTA,PRI,Decolagem,Voo de Instrução,Leve,AB-115,AERO BOERO,0,0.0,0,0,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),4 - Leve
1341,Incidente Grave,2010-10-27,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Não informado,Voo de Instrução,Não informado,EMB-712,NEIVA,0,0.0,0,0,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1040,Acidente,2010-07-16,,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Não informado,Voo Privado,Não informado,R44 II,ROBINSON HELICOPTER,1,0.0,1,1,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1036,Incidente Grave,2010-07-15,,TO,Norte,COLISÃO NO SOLO,TPP,Não informado,Voo Privado,Não informado,PA-46-350P,PIPER AIRCRAFT,0,0.0,0,0,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1030,Acidente,2010-07-12,,RJ,Sudeste,PERDA DE CONTROLE EM VOO,PRI,Não informado,Voo de Instrução,Não informado,R22,ROBINSON HELICOPTER,0,0.0,0,2,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1028,Acidente,2010-07-10,,MA,Nordeste,COMBUSTÍVEL,TPP,Não informado,Voo Privado,Não informado,182F,CESSNA AIRCRAFT,0,0.0,1,4,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
1027,Acidente,2010-07-10,,MG,Sudeste,COMBUSTÍVEL,PRI,Não informado,Voo de Instrução,Não informado,56-C-1,NEIVA,0,0.0,0,2,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1023,Incidente Grave,2010-07-10,,PR,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,PRI,Não informado,Voo de Instrução,Não informado,AB-115,AERO BOERO,0,0.0,0,0,0,2010,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
1017,Acidente,2010-07-04,,PE,Nordeste,EXCURSÃO DE PISTA,TPP,Não informado,Voo Privado,Não informado,EMB-810D,NEIVA,0,0.0,0,6,0,2010,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
